from_stop_id,to_stop_id,from_trip_id,to_trip_id,transfer_type
59261,59261,PLK_KD_2026_951083069_LEG0,PLK_KD_2026_951083069_LEG1,1
59261,59261,PLK_KD_2026_841910692_LEG0,PLK_KD_2026_841910692_LEG1,1
59261,59261,PLK_KD_2026_803020769_LEG0,PLK_KD_2026_803020769_LEG1,1
59261,59261,PLK_KD_2026_254221659_LEG0,PLK_KD_2026_254221659_LEG1,1
59261,59261,PLK_KD_2026_270543083_LEG0,PLK_KD_2026_270543083_LEG1,1
59261,59261,PLK_KD_2026_914241454_LEG0,PLK_KD_2026_914241454_LEG1,1
59261,59261,PLK_KD_2026_733136487_LEG0,PLK_KD_2026_733136487_LEG1,1
59261,59261,PLK_KD_2026_118979600_LEG0,PLK_KD_2026_118979600_LEG1,1
59261,59261,PLK_KD_2026_389483211_LEG0,PLK_KD_2026_389483211_LEG1,1
59261,59261,PLK_KD_2026_666962590_LEG0,PLK_KD_2026_666962590_LEG1,1
59261,59261,PLK_KD_2026_334833804_LEG0,PLK_KD_2026_334833804_LEG1,1
59261,59261,PLK_KD_2026_230600342_LEG0,PLK_KD_2026_230600342_LEG1,1
59261,59261,PLK_KD_2026_308768190_LEG0,PLK_KD_2026_308768190_LEG1,1
59261,59261,PLK_KD_2026_710871475_LEG0,PLK_KD_2026_710871475_LEG1,1
59261,59261,PLK_KD_2026_675800682_LEG0,PLK_KD_2026_675800682_LEG1,1
59261,59261,PLK_KD_2026_393525318_LEG0,PLK_KD_2026_393525318_LEG1,1
59261,59261,PLK_KD_2026_100516849_LEG0,PLK_KD_2026_100516849_LEG1,1
59261,59261,PLK_KD_2026_385028234_LEG0,PLK_KD_2026_385028234_LEG1,1
59261,59261,PLK_KD_2026_190239729_LEG0,PLK_KD_2026_190239729_LEG1,1
59261,59261,PLK_KD_2026_859141816_LEG0,PLK_KD_2026_859141816_LEG1,1
59261,59261,PLK_KD_2026_942952152_LEG0,PLK_KD_2026_942952152_LEG1,1
59261,59261,PLK_KD_2026_582375059_LEG0,PLK_KD_2026_582375059_LEG1,1
59261,59261,PLK_KD_2026_381561374_LEG0,PLK_KD_2026_381561374_LEG1,1
59261,59261,PLK_KD_2026_289241091_LEG0,PLK_KD_2026_289241091_LEG1,1
59261,59261,PLK_KD_2026_928683315_LEG0,PLK_KD_2026_928683315_LEG1,1
59261,59261,PLK_KD_2026_844807401_LEG0,PLK_KD_2026_844807401_LEG1,1
59261,59261,PLK_KD_2026_378725595_LEG0,PLK_KD_2026_378725595_LEG1,1
59261,59261,PLK_KD_2026_278012182_LEG0,PLK_KD_2026_278012182_LEG1,1
59543,59543,PLK_PR_2026_710883181_LEG0,PLK_PR_2026_710883181_LEG1,1
59543,59543,PLK_PR_2026_913293319_LEG0,PLK_PR_2026_913293319_LEG1,1
59543,59543,PLK_PR_2026_452661850_LEG0,PLK_PR_2026_452661850_LEG1,1
59543,59543,PLK_PR_2026_517030203_LEG0,PLK_PR_2026_517030203_LEG1,1
59543,59543,PLK_PR_2026_214279168_LEG0,PLK_PR_2026_214279168_LEG1,1
59543,59543,PLK_PR_2026_847498008_LEG0,PLK_PR_2026_847498008_LEG1,1
59543,59543,PLK_PR_2026_532831162_LEG1,PLK_PR_2026_532831162_LEG2,1
59543,59543,PLK_PR_2026_365018212_LEG1,PLK_PR_2026_365018212_LEG2,1
59543,59543,PLK_PR_2026_843932194_LEG1,PLK_PR_2026_843932194_LEG2,1
59543,59543,PLK_PR_2026_117476654_LEG1,PLK_PR_2026_117476654_LEG2,1
59543,59543,PLK_PR_2026_759028677_LEG1,PLK_PR_2026_759028677_LEG2,1
59543,59543,PLK_PR_2026_708439927_LEG0,PLK_PR_2026_708439927_LEG1,1
59543,59543,PLK_PR_2026_353408828_LEG0,PLK_PR_2026_353408828_LEG1,1
59543,59543,PLK_PR_2026_126248346_LEG0,PLK_PR_2026_126248346_LEG1,1
59543,59543,PLK_PR_2026_523018390_LEG0,PLK_PR_2026_523018390_LEG1,1
59543,59543,PLK_PR_2026_141038039_LEG0,PLK_PR_2026_141038039_LEG1,1
59543,59543,PLK_PR_2026_858860335_LEG0,PLK_PR_2026_858860335_LEG1,1
59543,59543,PLK_PR_2026_666134245_LEG1,PLK_PR_2026_666134245_LEG2,1
59543,59543,PLK_PR_2026_985050086_LEG1,PLK_PR_2026_985050086_LEG2,1
59543,59543,PLK_PR_2026_965101535_LEG1,PLK_PR_2026_965101535_LEG2,1
59543,59543,PLK_PR_2026_279695593_LEG1,PLK_PR_2026_279695593_LEG2,1
59543,59543,PLK_PR_2026_317398484_LEG1,PLK_PR_2026_317398484_LEG2,1
59543,59543,PLK_PR_2026_434877585_LEG0,PLK_PR_2026_434877585_LEG1,1
59543,59543,PLK_PR_2026_680569683_LEG0,PLK_PR_2026_680569683_LEG1,1
59543,59543,PLK_PR_2026_315287552_LEG1,PLK_PR_2026_315287552_LEG2,1
59543,59543,PLK_PR_2026_459507194_LEG0,PLK_PR_2026_459507194_LEG1,1
59543,59543,PLK_PR_2026_316301953_LEG0,PLK_PR_2026_316301953_LEG1,1
59543,59543,PLK_PR_2026_462009397_LEG0,PLK_PR_2026_462009397_LEG1,1
59543,59543,PLK_PR_2026_116556445_LEG0,PLK_PR_2026_116556445_LEG1,1
59543,59543,PLK_PR_2026_429803191_LEG0,PLK_PR_2026_429803191_LEG1,1
59543,59543,PLK_PR_2026_228670610_LEG0,PLK_PR_2026_228670610_LEG1,1
59543,59543,PLK_PR_2026_217172335_LEG1,PLK_PR_2026_217172335_LEG2,1
59543,59543,PLK_PR_2026_227452693_LEG1,PLK_PR_2026_227452693_LEG2,1
59543,59543,PLK_PR_2026_116899816_LEG1,PLK_PR_2026_116899816_LEG2,1
59543,59543,PLK_PR_2026_611773288_LEG1,PLK_PR_2026_611773288_LEG2,1
59543,59543,PLK_PR_2026_953450814_LEG1,PLK_PR_2026_953450814_LEG2,1
59543,59543,PLK_PR_2026_757685066_LEG0,PLK_PR_2026_757685066_LEG1,1
59543,59543,PLK_PR_2026_405518548_LEG0,PLK_PR_2026_405518548_LEG1,1
59543,59543,PLK_PR_2026_209274454_LEG0,PLK_PR_2026_209274454_LEG1,1
59543,59543,PLK_PR_2026_891058963_LEG0,PLK_PR_2026_891058963_LEG1,1
59543,59543,PLK_PR_2026_239242620_LEG0,PLK_PR_2026_239242620_LEG1,1
59543,59543,PLK_PR_2026_358516595_LEG1,PLK_PR_2026_358516595_LEG2,1
59543,59543,PLK_PR_2026_977765411_LEG1,PLK_PR_2026_977765411_LEG2,1
59543,59543,PLK_PR_2026_308998701_LEG1,PLK_PR_2026_308998701_LEG2,1
59543,59543,PLK_PR_2026_900106283_LEG1,PLK_PR_2026_900106283_LEG2,1
59543,59543,PLK_PR_2026_334339873_LEG0,PLK_PR_2026_334339873_LEG1,1
59543,59543,PLK_PR_2026_275102580_LEG1,PLK_PR_2026_275102580_LEG2,1
