stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,country,plk_secondary_id
46458,Łódź Fabryczna,51.76956162252,19.46956420169,0,,,,
46466,Bedoń,51.73177083684,19.6432143285,0,,,,
4648,Kępka,54.21626066627,16.8973052448,0,,,,
46490,Łódź Andrzejów,51.74107053154,19.61707446226,0,,,,
46516,Gałkówek,51.72972250022,19.73104248686,0,,,,
46524,Justynów,51.73077230135,19.68390370892,0,,,,
46532,Żakowice,51.73219645271,19.79104290298,0,,,,
46565,Łódź Chojny,51.72641334627,19.48432155992,0,,,,
46573,Łódź Lublinek,51.72102685901,19.3594095295,0,,,,
46581,Pabianice,51.66080053969,19.32482150618,0,,,,
46615,Chechło,51.64493645938,19.28645087915,0,,,,
46649,Łask,51.60372042378,19.11212892399,0,,,,
46656,Borszewice,51.6097399766,19.03568967857,0,,,,
46706,Łódź Kaliska,51.75786647986,19.42983100106,0,,,,
46789,Łódź Żabieniec,51.79352425398,19.40702408284,0,,,,
46805,Zgierz,51.84930968801,19.42559837759,0,,,,
46813,Zgierz Północ,51.86915774189,19.38362542195,0,,,,
46821,Zgierz Kontrewers,51.86480412422,19.34012794576,0,,,,
46839,Grotniki,51.88729242701,19.31108618651,0,,,,
46847,Stryków,51.910679526,19.59395242328,0,,,,
46854,Bratoszewice,51.93867805892,19.65314944048,0,,,,
46862,Głowno,51.96142588689,19.70289864418,0,,,,
46870,Domaniewice,52.0206123635,19.82107645767,0,,,,
46888,Grudze,52.04857376589,19.90161860119,0,,,,
46912,Kamień Łowicki,51.98876,19.753123,0,,,,
46920,Swędów,51.90603241665,19.54055674736,0,,,,
46938,Glinnik,51.88692801351,19.49711358463,0,,,,
46946,Smardzew,51.87088984647,19.46759010185,0,,,,
4697,Gałęzinowo,54.52302376186,16.93974954101,0,,,,
47001,Skierniewice,51.96730420328,20.15043398413,0,,,,
47035,Skierniewice Rawka,51.97758535489,20.2212768525,0,,,,
4705,Słupsk,54.46771196624,17.01648113966,0,,,,
4713,Kobylnica Słupska,54.44242860265,16.98623854694,0,,,,
4721,Widzino,54.42871773098,16.96251988095,0,,,,
47258,Koluszki,51.74339815459,19.81837887943,0,,,,
47282,Żakowice Południowe,51.72988187815,19.78781955981,0,,,,
47316,Rogów,51.81805249261,19.88621943834,0,,,,
47324,Wągry,51.79110218926,19.84931170304,0,,,,
47332,Przyłęk Duży,51.84098141225,19.91738675952,0,,,,
47340,Krosnowa,51.8633214508,19.92320178866,0,,,,
47357,Lipce Reymontowskie,51.90524366394,19.94324918859,0,,,,
47365,Płyćwia,51.91704829086,20.00258671297,0,,,,
47373,Maków,51.9422609346,20.04559635043,0,,,,
47381,Dąbrowice Skierniewickie,51.93338446211,20.1031559828,0,,,,
4739,Słonowice,54.38349093546,16.92656684921,0,,,,
47399,Baby,51.53672511832,19.71666314802,0,,,,
47415,Chrusty Nowe,51.69491809,19.79434656681,0,,,,
47423,Rokiciny,51.66760863454,19.78071168387,0,,,,
47431,Łaznów,51.63143265308,19.75510544353,0,,,,
47449,Wolbórka,51.59342087867,19.72353879822,0,,,,
4747,Wrząca Pomorska,54.34342808244,16.91715408466,0,,,,
47506,Słotwiny,51.72235983712,19.83916309828,0,,,,
47548,Wykno,51.66063181725,19.90466318725,0,,,,
47555,Zaosie,51.63376960337,19.93335575104,0,,,,
47563,Skrzynki,51.60234983782,19.96677979977,0,,,,
47605,Tomaszów Mazowiecki,51.54681097307,20.03376730833,0,,,,
47704,Piotrków Trybunalski,51.41082312766,19.68475819874,0,,,,
47738,Milejów,51.35557131303,19.67576430025,0,,,,
47746,Jarosty,51.46153361821,19.69314687797,0,,,,
47787,Moszczenica,51.50348926123,19.70043071063,0,,,,
47795,Rozprza,51.30161376086,19.66015796413,0,,,,
47803,Luciążanka,51.27747252872,19.64830085587,0,,,,
47811,Wilkoszewice,51.25174320032,19.63053295307,0,,,,
47829,Gorzkowice,51.21824108365,19.60311984414,0,,,,
47837,Gorzędów,51.19705891309,19.5440378552,0,,,,
47845,Kamieńsk,51.18599297844,19.49827763708,0,,,,
47852,Gomunice,51.16388874572,19.486879643,0,,,,
47860,Dobryszyce koło Radomska,51.12418098953,19.44425152138,0,,,,
47878,Bobry,51.0284182716,19.40457837587,0,,,,
47886,Radomsko,51.07473698255,19.43759879597,0,,,,
48009,Skarżysko-Kamienna,51.11591040278,20.88136602447,0,,,,
48033,Skarżysko Kościelne,51.12214962411,20.91765162426,0,,,,
48058,Skarżysko Zachodnie,51.10038879243,20.85951697038,0,,,,
